UNIPROT:P60323:T116:PRGE	Nanos homolog 3
UNIPROT:Q8TCZ7:T116:PRGE	Putative uncharacterized protein C21orf74
UNIPROT:Q9BRZ2:T116:PRGE	Tripartite motif-containing protein 56
UNIPROT:O75096:T116:PRGE	Low-density lipoprotein receptor-related protein 4
UNIPROT:P60321:T116:PRGE	NOS-2
UNIPROT:P60328:T116:PRGE	Keratin-associated protein 12-3
UNIPROT:Q9UGK8:T116:PRGE	Secretion-regulating guanine nucleotide exchange factor
UNIPROT:Q5DJT8:T116:PRGE	Cancer/testis antigen family 45 member A2
UNIPROT:Q9UGK3:T116:PRGE	Signal-transducing adaptor protein 2
UNIPROT:Q5T953:T116:PRGE	Immediate early response gene 5-like protein
UNIPROT:Q9UGL1:T116:PRGE	Lysine-specific demethylase 5B
UNIPROT:Q86SM8:T116:PRGE	Mas-related G-protein coupled receptor member E
UNIPROT:Q86SM5:T116:PRGE	Mas-related G-protein coupled receptor member G
UNIPROT:P60329:T116:PRGE	Keratin-associated protein 12-4
UNIPROT:Q658T7:T116:PRGE	Putative protein FAM90A2
UNIPROT:Q8TCZ2:T116:PRGE	CD99 antigen-like protein 2
UNIPROT:Q96NA8:T116:PRGE	t-SNARE domain-containing protein 1
UNIPROT:Q96NA2:T116:PRGE	Rab-interacting lysosomal protein
UNIPROT:Q04637:T116:PRGE	eIF-4G1
UNIPROT:Q9UGJ0:T116:PRGE	AMPK subunit gamma-2
UNIPROT:Q9UGJ1:T116:PRGE	Gamma-tubulin complex component 4
UNIPROT:P17787:T116:PRGE	Neuronal acetylcholine receptor subunit beta-2
UNIPROT:Q06787:T116:PRGE	FMRP
UNIPROT:Q9BRY0:T116:PRGE	Zinc transporter ZIP3
UNIPROT:Q8TCX9:T116:PRGE	Uncharacterized protein C21orf41
UNIPROT:Q9UGI8:T116:PRGE	Testin
UNIPROT:Q9UGI9:T116:PRGE	AMPK gamma3
UNIPROT:O75078:T116:PRGE	ADAM 11
UNIPROT:Q9BRX5:T116:PRGE	DNA replication complex GINS protein PSF3
UNIPROT:Q9BS92:T116:PRGE	NipSnap3B
UNIPROT:Q8TD94:T116:PRGE	Krueppel-like factor 14
UNIPROT:Q9BRX2:T116:PRGE	Protein pelota homolog
UNIPROT:O75077:T116:PRGE	Disintegrin and metalloproteinase domain-containing protein 23
UNIPROT:Q8TCX5:T116:PRGE	Rhophilin-1
UNIPROT:Q9BS91:T116:PRGE	Probable UDP-sugar transporter protein SLC35A5
UNIPROT:O75074:T116:PRGE	LRP-3
UNIPROT:Q9UGI0:T116:PRGE	Ubiquitin thioesterase ZRANB1
UNIPROT:Q9BRX8:T116:PRGE	Uncharacterized protein C10orf58
UNIPROT:Q9BRX9:T116:PRGE	WD repeat domain-containing protein 83
UNIPROT:Q9UGI6:T116:PRGE	SKCa3
UNIPROT:Q86T03:T116:PRGE	Transmembrane protein 55B
UNIPROT:O75083:T116:PRGE	WD repeat-containing protein 1
UNIPROT:Q8TD91:T116:PRGE	Melanoma-associated antigen C3
UNIPROT:Q8TD90:T116:PRGE	Melanoma-associated antigen E2
UNIPROT:O75084:T116:PRGE	hFz7
UNIPROT:Q5T8R8:T116:PRGE	Uncharacterized protein C9orf66
UNIPROT:Q8TCY9:T116:PRGE	Up-regulator of cell proliferation
UNIPROT:Q9BS86:T116:PRGE	Zona pellucida-binding protein 1
UNIPROT:Q8TCY5:T116:PRGE	Melanocortin-2 receptor accessory protein
UNIPROT:P35590:T116:PRGE	Tyrosine-protein kinase receptor Tie-1
UNIPROT:Q9UGH3:T116:PRGE	Solute carrier family 23 member 2
UNIPROT:O75093:T116:PRGE	Slit homolog 1 protein
UNIPROT:O75094:T116:PRGE	Slit-3
UNIPROT:O75095:T116:PRGE	Multiple EGF-like domains protein 6
UNIPROT:Q86SI9:T116:PRGE	Protein CEI
UNIPROT:O75054:T116:PRGE	Immunoglobulin superfamily member 3
UNIPROT:P60368:T116:PRGE	Keratin-associated protein 10-2
UNIPROT:O75052:T116:PRGE	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
UNIPROT:P60369:T116:PRGE	Keratin-associated protein 10-3
UNIPROT:O75056:T116:PRGE	Syndecan-3
UNIPROT:Q06730:T116:PRGE	Zinc finger protein 33A
UNIPROT:Q06732:T116:PRGE	Zinc finger protein 33B
UNIPROT:O75061:T116:PRGE	Putative tyrosine-protein phosphatase auxilin
UNIPROT:P28161:T116:PRGE	Glutathione S-transferase Mu 2
UNIPROT:Q9UGP4:T116:PRGE	LIM domain-containing protein 1
UNIPROT:Q9UGP5:T116:PRGE	DNA polymerase lambda
UNIPROT:Q86SH4:T116:PRGE	Putative testis-specific prion protein
UNIPROT:A2A368:T116:PRGE	Melanoma-associated antigen B16
UNIPROT:Q9UGN5:T116:PRGE	hPARP-2
UNIPROT:Q9UGN4:T116:PRGE	CLM-8
UNIPROT:O75063:T116:PRGE	Protein FAM20B
UNIPROT:O75064:T116:PRGE	DENN domain-containing protein 4B
