UNIPROT:Q9UN73:T116:PRGE	Protocadherin alpha-6|PCDHA6	UNIPROT:Q9UN73|GENE:56142
UNIPROT:Q99733:T116:PRGE	Nucleosome assembly protein 1-like 4|NAP1L4	UNIPROT:Q99733|GENE:4676
UNIPROT:P63129:T116:PRGE	HERV-K_22q11.21 provirus ancestral Pro protein	UNIPROT:P63129
UNIPROT:P22531:T116:PRGE	SPR-2E|SPRR2E	UNIPROT:P22531|GENE:6704
UNIPROT:Q5TA31:T116:PRGE	Protein RNF187|RNF187	UNIPROT:Q5TA31|GENE:149603
UNIPROT:Q86XF7:T116:PRGE	Zinc finger protein 575|ZNF575	UNIPROT:Q86XF7|GENE:284346
UNIPROT:P51677:T116:PRGE	C-C CKR-3|CCR3	UNIPROT:P51677|GENE:1232
UNIPROT:P04196:T116:PRGE	Histidine-rich glycoprotein|HRG	UNIPROT:P04196|GENE:3273
UNIPROT:Q9NRJ7:T116:PRGE	PCDH-beta-16|PCDHB16	UNIPROT:Q9NRJ7|GENE:57717
UNIPROT:Q8N8J0:T116:PRGE	Putative phosphatidylinositol 4-kinase alpha-like protein P1	UNIPROT:Q8N8J0
UNIPROT:Q8IZU8:T116:PRGE	Dermatan-sulfate epimerase-like protein|DSEL	UNIPROT:Q8IZU8|GENE:92126
UNIPROT:Q99880:T116:PRGE	Histone H2B type 1-L|HIST1H2BL	UNIPROT:Q99880|GENE:8340
UNIPROT:Q969F2:T116:PRGE	Naked-2|NKD2	UNIPROT:Q969F2|GENE:85409
UNIPROT:Q8TD06:T116:PRGE	AG-3|AGR3	UNIPROT:Q8TD06|GENE:155465
UNIPROT:B1ANY3:T116:PRGE	Putative SIPAR-like protein C9orf51	UNIPROT:B1ANY3
UNIPROT:P31267:T116:PRGE	Homeobox protein Hox-A6|HOXA6	UNIPROT:P31267|GENE:3203
UNIPROT:Q6NT52:T116:PRGE	Choriogonadotropin subunit beta variant 2	UNIPROT:Q6NT52
UNIPROT:O60383:T116:PRGE	Growth/differentiation factor 9|GDF9	UNIPROT:O60383|GENE:2661
UNIPROT:Q9BV47:T116:PRGE	Dual specificity protein phosphatase 26|DUSP26	UNIPROT:Q9BV47|GENE:78986
UNIPROT:Q8WZ04:T116:PRGE	Transmembrane O-methyltransferase|LRTOMT	UNIPROT:Q8WZ04|GENE:220074
UNIPROT:P16109:T116:PRGE	P-selectin|SELP	UNIPROT:P16109|GENE:6403
UNIPROT:O75382:T116:PRGE	Tripartite motif-containing protein 3|TRIM3	UNIPROT:O75382|GENE:10612
UNIPROT:Q902F9:T116:PRGE	HERV-K_19p13.11 provirus ancestral Env polyprotein	UNIPROT:Q902F9
UNIPROT:O60810:T116:PRGE	PRAME family member 4|PRAMEF4	UNIPROT:O60810|GENE:400735
UNIPROT:Q08477:T116:PRGE	Leukotriene-B(4) omega-hydroxylase 2|CYP4F3	UNIPROT:Q08477|GENE:4051
UNIPROT:Q9Y5W5:T116:PRGE	Wnt inhibitory factor 1|WIF1	UNIPROT:Q9Y5W5|GENE:11197
UNIPROT:Q5NE16:T116:PRGE	Putative cathepsin L-like protein 3	UNIPROT:Q5NE16
UNIPROT:Q9ULY5:T116:PRGE	C-type lectin domain family 4 member E|CLEC4E	UNIPROT:Q9ULY5|GENE:26253
UNIPROT:Q9HB03:T116:PRGE	Elongation of very long chain fatty acids protein 3|ELOVL3	UNIPROT:Q9HB03|GENE:83401
UNIPROT:Q3B7S5:T116:PRGE	Putative uncharacterized protein C18orf62|C18orf62	UNIPROT:Q3B7S5|GENE:284274
UNIPROT:Q7Z5P4:T116:PRGE	17-beta-HSD 13|HSD17B13	UNIPROT:Q7Z5P4|GENE:345275
UNIPROT:Q9UHF5:T116:PRGE	Interleukin-17B|IL17B	UNIPROT:Q9UHF5|GENE:27190
UNIPROT:Q2KJ03:T116:PRGE	Putative uncharacterized protein C6orf12	UNIPROT:Q2KJ03
UNIPROT:A8MVZ4:T116:PRGE	TPR repeat protein 3-like	UNIPROT:A8MVZ4
UNIPROT:Q9NWT6:T116:PRGE	Hypoxia-inducible factor 1-alpha inhibitor|HIF1AN	UNIPROT:Q9NWT6|GENE:55662
UNIPROT:Q16281:T116:PRGE	Cyclic nucleotide-gated cation channel alpha-3|CNGA3	UNIPROT:Q16281|GENE:1261
UNIPROT:Q8TBG4:T116:PRGE	Alanine--glyoxylate aminotransferase 2-like 1|AGXT2L1	UNIPROT:Q8TBG4|GENE:64850
UNIPROT:Q13459:T116:PRGE	Myosin-IXb|MYO9B	UNIPROT:Q13459|GENE:4650
UNIPROT:Q9Y5U4:T116:PRGE	Insulin-induced gene 2 protein|INSIG2	UNIPROT:Q9Y5U4|GENE:51141
UNIPROT:Q8NHP6:T116:PRGE	Motile sperm domain-containing protein 2|MOSPD2	UNIPROT:Q8NHP6|GENE:158747
UNIPROT:Q9UK85:T116:PRGE	Dickkopf-like protein 1|DKKL1	UNIPROT:Q9UK85|GENE:27120
UNIPROT:Q49AR2:T116:PRGE	UPF0489 protein C5orf22|C5orf22	UNIPROT:Q49AR2|GENE:55322
UNIPROT:Q0P670:T116:PRGE	Uncharacterized protein C17orf74|C17orf74	UNIPROT:Q0P670|GENE:201243
UNIPROT:Q9NPC8:T116:PRGE	Homeobox protein SIX2|SIX2	UNIPROT:Q9NPC8|GENE:10736
UNIPROT:Q16821:T116:PRGE	Protein phosphatase 1 regulatory subunit 3A|PPP1R3A	UNIPROT:Q16821|GENE:5506
UNIPROT:P42081:T116:PRGE	T-lymphocyte activation antigen CD86|CD86	UNIPROT:P42081|GENE:942
UNIPROT:Q96DI7:T116:PRGE	U5 snRNP 40 kDa protein|SNRNP40	UNIPROT:Q96DI7|GENE:9410
UNIPROT:Q7Z3U7:T116:PRGE	Protein MON2 homolog|MON2	UNIPROT:Q7Z3U7|GENE:23041
